epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
227,75,17,0,0.191,0.207,0.981,12999,2999,2999,0.5,0.7126253771750928,0.0,0.019006336107850075,0.8091391324996948,0.7929309606552124,5.960464477539063e-08,0.0,0.456521725596483,0.47423097225835853,9.33165385373705e-05,0.0005497067012228836,0,1
159,58,5,0,0.248,0.955,0.927,12999,2999,2999,0.5,0.7022637227055148,0.0,0.07269089668989182,0.7522886991500854,0.04551517255604267,5.960464477539063e-08,0.0005001660436391831,0.5232331912105693,1.1915699937614692,0.00018222683092364512,0.09935166950602825,0,1
266,89,23,1,0.137,0.644,0.352,12999,2999,2999,0.5,0.7563986643893342,0.0,0.6475492119789124,0.8632203340530396,0.35575190782546995,5.960464477539063e-08,0.00010002851486206054,0.332358042405508,1.0577204783982777,0.00016928208677748332,0.023717431613924377,1,1
217,44,9,1,0.079,0.532,0.096,12999,2999,2999,0.5,0.7280011475880158,0.0,0.9039679765701294,0.9213016629219055,0.46815603971481323,0.0,0.0,0.24591670505211294,1.2123758917412946,8.10824804137057e-05,0.010734462283629847,1,1
286,68,9,2,0.854,0.55,0.439,12999,2999,2999,0.5742180976530518,0.6675399605878067,0.6468989374845565,0.523507833480835,0.873451828956604,0.6116038739681244,0.00027737132040783763,0.0055652290105494065,0.36748052570300843,0.8431631528683287,0.0002601011855620308,0.04814074335106249,0,1
335,84,21,1,0.592,0.796,0.401,12999,2999,2999,0.591614997362552,0.6892778482125506,0.6017749785284855,0.536178708076477,0.6440340876579285,0.740446811914444,0.0009489437215961516,0.006608927471526786,0.6230696782445676,0.5610862697291747,0.00022400569816193245,0.0103655746663782,0,0
307,33,23,0,0.161,0.291,0.25,12999,2999,2999,0.7886556988291092,0.9524458277753076,0.7062359128474831,0.8696231842041016,0.907354474067688,0.8605535149574279,0.0017995595699176192,0.012268573604372184,0.19115130728905508,0.27535571126058006,0.0019181539534304046,0.010171185953687273,1,0
94,82,24,1,0.248,0.939,0.395,12999,2999,2999,0.484093003127094,0.7749441590350681,0.03538461538461538,0.5818606019020081,0.7183860540390015,0.07672557532787323,0.002019896637648344,0.007510203803428351,0.45610187821034626,1.008938005293318,0.0012684012505684368,0.01757808138043572,1,1
112,44,18,2,0.78,0.32,0.403,12999,2999,2999,0.5480338986182779,0.6868974310409344,0.5972465581977472,0.463487833738327,0.7905685305595398,0.40293430984020234,0.0006959482561796904,0.011360815608927944,0.4870157338516631,1.0011306114179288,0.0003417441861053556,0.06480644908391198,0,1
294,75,23,0,0.102,0.141,0.887,12999,2999,2999,0.5,0.7600084281500211,0.0,0.11303767561912537,0.8982229232788086,0.8586195111274719,0.0,0.0,0.2734652519502913,0.3389510224623933,0.00016482437181207027,0.001004823207562373,1,1
54,33,16,1,0.029,0.857,0.952,12999,2999,2999,0.5,0.7147256275539988,0.0,0.048016004264354706,0.9711516499519348,0.14338113367557526,0.0,0.0,0.12431649178719613,2.8618491709331706,0.00012895323355191266,0.010757210329688061,1,0
381,68,10,0,0.614,0.612,0.263,12999,2999,2999,0.5863377505642071,0.6875210931957656,0.4574162679425837,0.4328109323978424,0.6620509624481201,0.6644548118114472,0.0006949244998395443,0.0016064207393327527,0.6094911194295184,0.6069003645083473,0.00019245436111708965,0.001284157534560532,0,0
335,81,28,0,0.319,0.474,0.69,12999,2999,2999,0.8839651487496295,0.9442234390519129,0.9177168272794662,0.888962984085083,0.8826217651367188,0.8786262154579163,0.0018382050329819322,0.0034556181124108815,0.29345586513285815,0.3290301548059323,0.003749972299883275,0.0052883577973457715,1,1
294,91,15,0,0.396,0.691,0.575,12999,2999,2999,0.8289097402301986,0.8832637277648877,0.8822911192853389,0.8506168723106384,0.8017001152038574,0.8876292049884796,0.0006966703804209828,0.0017894533247849332,0.3869663885863288,0.4071943882466476,0.0014322941811860254,0.0029995834867399458,1,1
364,32,28,0,0.888,0.076,0.359,12999,2999,2999,0.814516129032258,0.9172968617300339,0.7513079874433205,0.7622540593147278,0.9609124064445496,0.6793931305408478,0.00027620283071883023,0.006997967318571437,0.14746951587234244,0.8807100303195325,0.0007529339974160222,0.029225226932445156,1,0
382,74,36,1,0.161,0.324,0.664,12999,2999,2999,0.5,0.6901775976014861,0.0,0.33644548058509827,0.8388336896896362,0.6762254238128662,5.960464477539063e-08,0.0,0.4155451804055591,0.6633044717072567,0.00018507371084517483,0.012301834590260585,0,1
267,99,15,0,0.131,0.818,0.575,12999,2999,2999,0.5,0.6823210954915608,0.0,0.42514172196388245,0.8693745732307434,0.1823941320180893,0.0,0.0,0.36738219162401525,1.5689638462373516,0.0001610882737201807,0.03357727234632087,0,0
335,35,9,2,0.091,0.432,0.608,12999,2999,2999,0.5,0.6904568327605316,0.0,0.39213070273399353,0.909300684928894,0.5675225257873535,5.960464477539063e-08,0.0,0.2901457706982883,1.0201328348839191,0.0001692392279618236,0.025964390609436363,0,1
221,75,18,2,0.438,0.109,0.701,12999,2999,2999,0.6417640767096802,0.6940628547865106,0.6754558204768584,0.6142047643661499,0.638210654258728,0.634044674038887,0.001437750761397183,0.0984862252750714,0.6349402818700718,0.5931287711105494,0.0003237960181689612,0.06636811704742657,0,0
195,39,33,1,0.761,0.817,0.739,12999,2999,2999,0.5493058725350521,0.6963149116376428,0.8534176214934809,0.7525842189788818,0.7715593576431274,0.8253751218318939,0.0008229931117966771,0.0029337324582862385,0.5071196807137873,0.4463460510822088,0.00020746335966154077,0.005167031634274598,0,1
217,99,23,2,0.131,0.939,0.462,12999,2999,2999,0.5,0.6855660533508694,0.0,0.5381793975830078,0.8693745732307434,0.06068689748644829,0.0,0.0,0.36694971453901426,1.8087080180227617,0.00041079512591437234,0.18277496842480923,0,1
157,35,9,1,0.297,0.601,0.877,12999,2999,2999,0.5301572595971114,0.7501115462793118,0.38902147971360385,0.3171057105064392,0.6537810564041138,0.4785928577184677,0.0030459018889814615,0.05416559766444691,0.4780630446340554,0.6314681592286526,0.0004657228577738039,0.013593459774367876,1,1
136,45,23,0,0.561,0.976,0.079,12999,2999,2999,0.590045891040859,0.6849192018258646,0.178714859437751,0.45448482036590576,0.6355873346328735,0.8108702957630157,0.001393255079165101,0.034020102984213055,0.6305124884819066,0.5325658707995938,0.00027695718835872807,0.04767681951978851,0,0
226,55,36,1,0.77,0.796,0.511,12999,2999,2999,0.5458078154561359,0.6856998439115725,0.6920590951061865,0.555185079574585,0.7799445390701294,0.8079359710216523,0.0003101050097029656,0.0014912063651546894,0.49764403497790344,0.46707543860220363,0.00016538008547910534,0.0017773916231614553,0,1
286,78,15,0,0.456,0.817,0.096,12999,2999,2999,0.6187039406740464,0.6837092596589682,0.23306894447834045,0.5808602571487427,0.6404954195022583,0.629743242263794,0.001099726534448564,0.040779643418066926,0.6293126610143615,0.6945432041517374,0.0001772028792574107,0.03495535118353559,0,0
94,74,5,0,0.84,0.377,0.146,12999,2999,2999,0.5,0.6614882901480637,0.25538103548574753,0.14638212323188782,0.8402184247970581,0.37712571024894714,5.960464477539063e-08,0.0,0.41625766114841395,1.1405470947537193,0.0009100753524205592,0.020808743895818126,0,0
300,60,23,1,0.844,0.067,0.809,12999,2999,2999,0.5296143905538219,0.7010907304479616,0.8987177104627392,0.8182727694511414,0.8522886037826538,0.13794598430395127,0.00037125725066289306,0.006479555202588793,0.4006197633216157,1.599863024690462,0.00012635945405517623,0.050285402599084435,0,0
54,58,33,1,0.713,0.275,0.604,12999,2999,2999,0.7390572390572391,0.7449862140640716,0.853842527109854,0.7932644486427307,0.8417724370956421,0.6125375151634216,0.0036251137498766184,0.011622830196795412,0.4367957104709627,0.737329800650055,0.003663204508526897,0.018881960312290568,1,0
