epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
238,115.0,18.0,2.0,0.5,0.8909999999999999,0.48200000000000004,13000.0,2999.0,2999.0,0.6418576015461829,0.6908707521164268,0.598793363499246,0.6452150940895081,0.6235923111438751,0.6768589496612549,0.0018033637886917208,0.1213776754520632,0.6408853352069854,0.638079223036766,0.0004328586794497424,0.14539943035156686,0.0,0.0
316,107.0,11.0,1.0,0.5,0.466,0.64,13000.0,2999.0,2999.0,0.6330712272165585,0.6910859785295026,0.7234949387320192,0.6538846492767334,0.624730771780014,0.6231410562992096,0.0012433317774616164,0.006100847135225886,0.6397695004940033,0.6367517292499543,0.00011795607839218484,0.0015712975585314125,0.0,0.0
316,95.0,25.0,2.0,0.5,0.196,0.753,13000.0,2999.0,2999.0,0.5,,0.0,0.2467489093542099,0.5,0.803934633731842,0.0,0.0,,,,,1.0,2.0
127,46.0,45.0,2.0,0.5,0.442,0.618,13000.0,2999.0,2999.0,0.5,,0.0,0.3821273744106293,0.5,0.5581860542297363,0.0,0.0,,,,,1.0,2.0
314,346.0,32.0,2.0,0.5,0.377,0.565,13000.0,2999.0,2999.0,0.5,,0.0,0.4348115921020508,0.5,0.6228743195533752,0.0,0.0,,,,,1.0,1.0
143,190.0,18.0,1.0,0.5,0.48700000000000004,0.314,13000.0,2999.0,2999.0,0.7067649297919134,0.7313042343543044,0.6082656305192511,0.6302100419998169,0.7496692299842834,0.7559519946575165,0.0024622619220100216,0.002795567910986258,0.5417818784713745,0.5335803151130676,0.0005903158602266051,0.0006894242081642803,1.0,2.0
268,351.0,37.0,0.0,0.5,0.86,0.5379999999999999,13000.0,2999.0,2999.0,0.7676307042618962,0.7503048685016931,0.8222883418988369,0.7809270024299622,0.7863692402839659,0.9080026745796204,0.0005946503144272513,0.003952265644670986,0.4948533326387405,0.44717471599578856,0.000977914107083548,0.004352505626707377,1.0,0.0
313,67.0,20.0,0.0,0.5,0.9259999999999999,0.297,13000.0,2999.0,2999.0,0.6283834474450956,0.6900184309827799,0.5124358468219502,0.5881960391998291,0.6350769221782684,0.7577192306518554,0.0014987182962659625,0.07123067942947213,0.6312908709049225,0.5779556035995483,0.00026528062820812116,0.08558112572005107,0.0,1.0
390,287.0,47.0,1.0,0.5,0.825,0.23,13000.0,2999.0,2999.0,0.7499043784031882,0.7575055115661377,0.5472233481961897,0.6275424957275391,0.7884307682514191,0.6203401207923889,0.0015003733210271332,0.020521443930524748,0.5079845905303955,0.6903908431529999,0.0002005171296162824,0.007469860569781449,1.0,2.0
271,393.0,37.0,2.0,0.5,0.102,0.527,13000.0,2999.0,2999.0,0.5993673551134817,0.6875827996242403,0.6943495400788436,0.6122040748596191,0.622323077917099,0.586128705739975,0.001761451618853164,0.2194032661466368,0.6415087580680847,0.6504915922880172,0.000620934568571623,0.14784931816761254,0.0,2.0
313,288.0,5.0,1.0,0.5,0.016,0.515,13000.0,2999.0,2999.0,0.5274978990549308,0.5541389508093979,0.5457463884430177,0.5281760692596436,0.5451769232749939,0.529543188214302,0.004787930013962514,0.053679891730484944,0.6912067592144012,0.6908051431179046,9.086821617541008e-05,0.0017566762464872089,0.0,0.0
236,265.0,11.0,1.0,0.5,0.36,0.504,13000.0,2999.0,2999.0,0.7340480371331078,0.7255927028959982,0.769721577726218,0.7352451086044312,0.7447923064231873,0.7126375496387481,0.0015469178790382902,0.002871498639015148,0.5422592699527741,0.5402489900588989,0.00058880200244093,0.0027914037783528358,1.0,1.0
179,323.0,8.0,2.0,0.5,0.69,0.8740000000000001,13000.0,2999.0,2999.0,0.5,,0.0,0.12570856511592865,0.5,0.3101033568382263,0.0,0.0,,,,,1.0,2.0
303,243.0,32.0,2.0,0.5,0.256,0.9329999999999999,13000.0,2999.0,2999.0,0.5,,0.0,0.06735578179359436,0.5,0.74424809217453,0.0,0.0,,,,,1.0,2.0
379,248.0,11.0,1.0,0.5,0.722,0.273,13000.0,2999.0,2999.0,0.6092982963558361,0.6842639084603752,0.4712918660287081,0.5578526258468628,0.6244538486003876,0.6812937617301941,0.000944286324200166,0.005370006240312309,0.640241003036499,0.6285284638404847,7.351014621404535e-05,0.0057081703567249,0.0,1.0
247,323.0,5.0,1.0,0.5,0.941,0.28800000000000003,13000.0,2999.0,2999.0,0.6746863886720444,0.7090830731199583,0.5486223662884927,0.6285428404808044,0.6755999982357025,0.7645881950855256,0.0005946533985841388,0.0011836104409583994,0.5883899331092834,0.5703728020191192,0.0006162494498761466,0.001921823172217952,1.0,0.0
334,157.0,29.0,0.0,0.5,0.5539999999999999,0.188,13000.0,2999.0,2999.0,0.6125056431764895,0.684946189581604,0.37332098193608143,0.5488496422767639,0.6287000060081482,0.6419473052024841,0.0007967781533698194,0.0009046111503440697,0.6356053590774536,0.6342320680618286,0.00013204696613348797,0.0021296248190752188,0.0,0.0
95,121.0,29.0,1.0,0.5,0.81,0.664,13000.0,2999.0,2999.0,0.6652525651144435,0.7423634529988121,0.7185164683088846,0.6608869433403015,0.7374846160411834,0.5545848608016968,0.004098642958236553,0.013211976869576007,0.5437627851963043,0.6686213910579681,0.001408486165718384,0.008819044209823192,1.0,2.0
196,363.0,40.0,2.0,0.5,0.81,0.049,13000.0,2999.0,2999.0,0.5777432071023532,0.6681143137000706,0.11183225162256616,0.4068022668361664,0.6207384586334228,0.6850283443927765,0.002381684315103009,0.0650637508141596,0.644739979505539,0.6333788156509399,0.0017223682493766597,0.06556877862763116,0.0,0.0
363,372.0,16.0,2.0,0.5,0.7120000000000001,0.257,13000.0,2999.0,2999.0,0.6049063991190505,0.6802835119120448,0.454854552323385,0.5188395977020264,0.6237000048160553,0.6473824620246887,0.00153054201933853,0.011631672745503118,0.6411216318607329,0.6643190562725068,0.00031044301071056534,0.015255007556590462,0.0,2.0
324,337.0,31.0,2.0,0.5,0.282,0.775,13000.0,2999.0,2999.0,0.5,,0.0,0.22474157810211184,0.5,0.7179059982299805,0.0,0.0,,,,,1.0,1.0
167,181.0,40.0,1.0,0.5,0.49,0.579,13000.0,2999.0,2999.0,0.6233416541443935,0.6870987284304414,0.7100977198697068,0.6438813209533691,0.6205615341663361,0.6224741518497467,0.0012611859749997274,0.003853553206729228,0.642532479763031,0.6391190588474274,0.00020999753581538402,0.0005377822409176732,0.0,0.0
143,204.0,27.0,2.0,0.5,0.431,0.81,13000.0,2999.0,2999.0,0.6187261430422075,0.7046288629157205,0.8331215586615841,0.7372457385063171,0.6208307564258575,0.5975992023944855,0.0015391563995182092,0.01563339522949353,0.6433744549751281,0.6458585977554321,0.0005845939595907281,0.012444894423677196,0.0,2.0
203,238.0,35.0,0.0,0.5,0.61,0.731,13000.0,2999.0,2999.0,0.6933257635675887,0.7476959737671973,0.7557153865913178,0.6828942894935608,0.7865615427494049,0.8035011708736419,0.0010933018467322157,0.00523635123581455,0.4998088955879211,0.4996963649988174,0.0012634552704040105,0.0030243863438729865,1.0,2.0
218,217.0,25.0,1.0,0.5,0.58,0.201,13000.0,2999.0,2999.0,0.7731764106567883,0.7531350620298618,0.5377268385864373,0.6772257685661316,0.7818999946117401,0.8163054406642913,0.0007338360325100336,0.0014568933980781244,0.5193048596382142,0.4985207080841064,0.00038916430803087967,0.0006455473678930357,1.0,1.0
300,263.0,42.0,1.0,0.5,0.899,0.595,13000.0,2999.0,2999.0,0.7200112262744636,0.7601686800779288,0.7764182424916575,0.7319106459617615,0.7864461481571198,0.16205401718616486,0.0012685532297873016,0.014493909144891532,0.5194862604141235,0.9153262436389924,0.00037458771143546133,0.01419881673524069,1.0,2.0
98,346.0,39.0,1.0,0.5,0.462,0.478,13000.0,2999.0,2999.0,0.6754424463316611,0.7306424160332214,0.6924516531503431,0.6712237596511841,0.6775076925754547,0.6817605853080749,0.0015469813702464555,0.0017719731005887821,0.5883648872375489,0.5852039277553558,0.001645930194557754,0.0017150284871764955,1.0,1.0
167,200.0,32.0,0.0,0.5,0.261,0.066,13000.0,2999.0,2999.0,0.5923569865019348,0.6729261555216572,0.1543340380549683,0.4664888381958008,0.6237076938152313,0.5730910360813141,0.00042523057018858506,0.010703565788424772,0.6425075232982635,0.6424840211868286,0.0003104450257657373,0.006245524778549274,0.0,0.0
198,313.0,36.0,1.0,0.5,0.47200000000000003,0.557,13000.0,2999.0,2999.0,0.7101965369486759,0.7436519737049604,0.7735019241341397,0.7252417206764221,0.7159538447856904,0.7222074031829834,0.0019138882798834028,0.0016501325526082635,0.5509899735450745,0.5447632014751435,0.000745783795617112,0.0007652396671711853,1.0,0.0
336,66.0,16.0,2.0,0.5,0.647,0.18899999999999997,13000.0,2999.0,2999.0,0.5,,0.0,0.8112704157829285,0.5,0.352784276008606,0.0,0.0,,,,,1.0,1.0
260,89.0,12.0,1.0,0.5,0.693,0.529,13000.0,2999.0,2999.0,0.7750034579843743,0.7476209067504317,0.8223322332233223,0.7845948934555054,0.7822999894618988,0.8443147718906403,0.0012333847265613563,0.005578494833213779,0.5074736416339874,0.474584710597992,0.0003097660608161183,0.01422030680547846,1.0,1.0
106,97.0,39.0,2.0,0.5,0.433,0.597,13000.0,2999.0,2999.0,0.5,,0.0,0.4028009474277496,0.5,0.5665221810340881,0.0,0.0,,,,,1.0,0.0
219,348.0,29.0,2.0,0.5,0.905,0.45,13000.0,2999.0,2999.0,0.6196875772072862,0.6875358803315139,0.6227815424330428,0.6102033853530884,0.6236615359783173,0.6814271509647369,0.0020162680868173813,0.07548261267798155,0.6416271150112152,0.6585829615592956,0.0008380600346085714,0.07278956383294831,0.0,1.0
239,348.0,22.0,1.0,0.5,0.149,0.802,13000.0,2999.0,2999.0,0.6218256687034215,0.6913176918021784,0.8022998673153472,0.7019006609916687,0.6211615383625031,0.532444155216217,0.0012790674203852742,0.015457443324620002,0.6495329260826109,0.6547709226608276,0.0004835256388751405,0.008076652317506525,0.0,0.0
349,129.0,46.0,2.0,0.5,0.433,0.556,13000.0,2999.0,2999.0,0.5,,0.0,0.4444814920425415,0.5,0.5665221810340881,0.0,0.0,,,,,1.0,2.0
