epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
240,117.0,35.0,1.0,0.5,0.55,0.75,28000.0,2999.0,3000.0,0.6466666666666667,0.6975555555555556,0.6965699208443271,0.6166666746139526,0.6243178486824036,0.6362120687961579,0.0008700573972346562,0.002526267534505339,0.6399281740188598,0.6405442237854004,0.00012548977326066278,0.009680812661735145,0.0,1.0
133,158.0,10.0,1.0,0.5,0.3,0.55,28000.0,3000.0,2999.0,0.7653689601725182,0.7451706089808388,0.8273113708820403,0.7832610607147217,0.7853785753250122,0.7336000084877015,0.0012703550780315835,0.0036690848546485936,0.5186764180660248,0.5259613811969757,0.001236126282731505,0.004584435862056889,1.0,0.0
241,189.0,8.0,2.0,0.5,0.8,0.3,28000.0,2999.0,3000.0,0.6188888888888889,0.6787822751322751,0.5028294260307196,0.5899999737739563,0.6230857193470001,0.6549516499042511,0.0006804795480332547,0.03586499063438465,0.6407188177108765,0.6985135912895203,0.0002527005889627914,0.05426869790353946,0.0,2.0
298,212.0,5.0,1.0,0.5,0.05,0.5,28000.0,3000.0,3000.0,0.6226666666666667,0.6875768888888891,0.6586248492159229,0.6226666569709778,0.623542845249176,0.523733326792717,0.00035956605780878854,0.0551579120268547,0.6399327933788299,0.6503144443035126,9.644543584218988e-05,0.04863474328793769,0.0,2.0
237,42.0,30.0,2.0,0.5,0.85,0.02,28000.0,3000.0,3000.0,0.6469387755102041,0.6639002267573697,0.07801418439716312,0.7400000095367432,0.6321250081062317,0.6250666677951813,0.0007471516913712838,0.03275389285670563,0.6353939473628998,0.638688188791275,0.00021828083596364467,0.0354346535978123,0.0,0.0
391,98.0,5.0,0.0,0.5,0.65,0.35,28000.0,3000.0,3000.0,0.626007326007326,0.6906871794871796,0.5546468401486989,0.6006666421890259,0.6234428584575653,0.6519999921321868,0.00048212561761334764,0.0063385878223721406,0.6400154650211334,0.6422299683094025,9.115188893681204e-05,0.009817918738362429,0.0,0.0
346,111.0,37.0,1.0,0.5,0.25,0.04,28000.0,3000.0,3000.0,0.5934027777777777,0.6625506365740741,0.1021897810218978,0.5490000247955322,0.6242464363574982,0.5766333341598511,0.001045461521666592,0.0326807574856017,0.6397935509681701,0.6388716638088227,9.251107939623616e-05,0.02405470797219542,0.0,2.0
392,214.0,12.0,0.0,0.5,0.35,0.04,28000.0,3000.0,3000.0,0.5947916666666666,0.6690625,0.10165184243964423,0.5286666750907898,0.6244928598403929,0.5964000046253204,0.000694513958915289,0.010823633331872369,0.6393654346466064,0.6366719901561737,7.996741384767987e-05,0.00744066158653188,0.0,1.0
395,172.0,26.0,0.0,0.5,0.35,0.05,28000.0,3000.0,3000.0,0.9296491228070176,0.970280701754386,0.4375917767988252,0.8723333477973938,0.9332678616046906,0.9084999978542329,0.0007933475996816765,0.003815898394455717,0.20176779329776764,0.21736956983804706,0.0013092479379644244,0.0037358600140437468,1.0,0.0
140,85.0,16.0,0.0,0.5,0.02,0.55,28000.0,3000.0,2999.0,0.6241247164004763,0.6915623245052451,0.6936481169196178,0.6365455389022827,0.6264857172966003,0.5044999957084656,0.0007310734119266933,0.03525439058350336,0.6373638331890106,0.6560102164745331,0.00025133393819731645,0.03042318584966313,0.0,1.0
205,249.0,15.0,1.0,0.5,0.7,0.95,28000.0,3000.0,3000.0,0.7868421052631579,0.7400046783625731,0.9630686886708296,0.930999994277954,0.7913642823696136,0.8564333319664001,0.0010649496920364227,0.006051719148065732,0.5069596827030182,0.4713509738445282,0.0004995103814689644,0.00726688600226947,1.0,1.0
210,253.0,31.0,1.0,0.5,0.05,0.8,28000.0,3000.0,2999.0,0.6421313299944351,0.7020763772954925,0.7911090950328872,0.692897617816925,0.6239392876625061,0.5120666563510895,0.00042799315277954953,0.018147420459866056,0.6399621665477753,0.6576174676418305,8.081241723221003e-05,0.01719495830407126,0.0,2.0
395,146.0,18.0,2.0,0.5,0.1,0.75,28000.0,3000.0,3000.0,0.6344444444444445,0.7020284444444443,0.7866264221035523,0.6936666369438171,0.6387214362621307,0.5752666652202606,0.0007662885498727479,0.061006342790491636,0.6216218769550323,0.6413523495197296,0.00036024425141343013,0.05732772828985867,0.0,1.0
234,24.0,17.0,0.0,0.5,0.55,0.02,28000.0,2999.0,3000.0,0.9311224489795918,0.965873015873016,0.2484210526315789,0.8809999823570251,0.9355214238166808,0.9342780888080596,0.0012199518776371196,0.005392004288264893,0.19558209627866746,0.19301133304834367,0.0011075452609241978,0.011711611171525634,1.0,0.0
93,86.0,10.0,1.0,0.5,0.01,0.2,28000.0,3000.0,3000.0,0.7779166666666667,0.7659840277777779,0.5424551188743328,0.6856666803359985,0.7901035726070404,0.6651333332061767,0.0005878129412054297,0.011549115434360187,0.5092663407325745,0.5538171708583832,0.0004766544552306063,0.020008356683237003,1.0,1.0
382,116.0,7.0,1.0,0.5,0.35,0.7,28000.0,3000.0,3000.0,0.6348412698412699,0.6907783068783069,0.7216279676493608,0.6443333625793457,0.6243607103824615,0.590666663646698,0.0005706366669290662,0.008523167752557534,0.6399187028408051,0.6410483241081237,7.262855217835222e-05,0.0072047916503946065,0.0,2.0
339,240.0,5.0,2.0,0.5,0.5,0.75,28000.0,3000.0,3000.0,0.5,,0.0,0.25,0.5,0.5,0.0,0.0,,,,,1.0,0.0
290,239.0,28.0,1.0,0.5,0.45,0.45,28000.0,3000.0,3000.0,0.7911447811447813,0.75851088664422,0.7914471645491168,0.7756666541099548,0.7996607065200806,0.786300003528595,0.0010807052340796508,0.0036558887120248726,0.4979490727186203,0.4992259204387665,0.00029144925157398755,0.002434164589889608,1.0,2.0
243,223.0,9.0,2.0,0.5,0.15,0.75,28000.0,3000.0,3000.0,0.5,,0.0,0.25,0.5,0.8500000238418579,0.0,0.0,,,,,1.0,1.0
152,86.0,9.0,1.0,0.5,0.55,0.55,28000.0,2999.0,2999.0,0.6486515263831795,0.7350135903138127,0.6379542395693136,0.6412137150764465,0.8025357067584992,0.7981993913650512,0.0007714662728507071,0.009382539987494037,0.4839896053075791,0.47131527364254,0.00044680769574829455,0.0068089414653023355,1.0,2.0
105,154.0,33.0,1.0,0.5,0.04,0.7,28000.0,3000.0,3000.0,0.7292063492063492,0.7436603174603175,0.7951868919610855,0.7333333492279053,0.7790035724639892,0.4901333272457123,0.0010050138947400443,0.005230675240463559,0.5161278426647187,0.8708901405334473,0.0009243178599376504,0.016949620637175315,1.0,2.0
264,119.0,7.0,2.0,0.5,0.4,0.03,28000.0,3000.0,3000.0,0.5,,0.0,0.9700000286102296,0.5,0.6000000238418579,0.0,0.0,,,,,1.0,2.0
80,70.0,8.0,0.0,0.5,0.1,0.05,28000.0,3000.0,3000.0,0.6094736842105264,0.6482081871345029,0.1341991341991342,0.6000000238418579,0.6239821374416351,0.5349000036716461,0.0008409606300411568,0.02386213943063859,0.640200799703598,0.6428694605827332,0.0001456881973150325,0.018374155651649998,0.0,2.0
243,120.0,29.0,2.0,0.5,0.1,0.03,28000.0,3000.0,3000.0,0.5,,0.0,0.9700000286102296,0.5,0.8999999761581421,0.0,0.0,,,,,1.0,2.0
382,294.0,26.0,1.0,0.5,0.25,0.95,28000.0,3000.0,3000.0,0.6605263157894736,0.7100842105263159,0.8277945619335347,0.7149999737739563,0.6236928582191468,0.5718666613101959,0.0005249456444027244,0.017560185538278074,0.6398145794868471,0.6411153316497803,6.302574507439824e-05,0.01496561411616181,0.0,1.0
298,214.0,13.0,1.0,0.5,0.45,0.35,28000.0,3000.0,3000.0,0.6245787545787546,0.6905892551892552,0.5562431743720423,0.593666672706604,0.623892855644226,0.6169666707515716,0.0005626625477765597,0.0037101946258355717,0.6398543179035187,0.6365946233272552,0.00012142712726771282,0.001907411481568761,0.0,1.0
255,85.0,19.0,2.0,0.5,0.2,0.55,28000.0,3000.0,2999.0,0.6233834265561471,0.6875067951569064,0.6932584269662921,0.6358786225318909,0.6302535712718964,0.6119666576385498,0.0005880208532805505,0.022938786356677596,0.6357685208320618,0.6429802715778351,0.0002485669237524952,0.023283273280731574,0.0,0.0
158,146.0,24.0,2.0,0.5,0.02,0.04,28000.0,3000.0,3000.0,0.5,,0.0,0.959999978542328,0.5,0.9800000190734864,0.0,0.0,,,,,1.0,2.0
305,184.0,35.0,2.0,0.5,0.15,0.8,28000.0,3000.0,2999.0,0.5,,0.0,0.19973324239254,0.5,0.8500000238418579,0.0,0.0,,,,,1.0,0.0
115,44.0,21.0,0.0,0.5,0.45,0.4,28000.0,3000.0,3000.0,0.6323611111111112,0.7055435185185185,0.6205827650340979,0.5920000076293945,0.6413214206695557,0.6258333384990692,0.0017676287508688582,0.022817273554947358,0.624354237318039,0.6310763895511627,0.0010422394722253735,0.012865461986618391,0.0,1.0
