epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
91,32,35,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.241594914579765e-05,9.500395026407205e-05,3.3182654359602755e-06,3.8024983772398937e-06,0,0
105,22,24,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.536514788924251e-05,4.6185606333892795e-05,1.5515187756511487e-06,1.5751734851984243e-06,0,0
222,62,28,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.130553811090067e-05,6.971194889047184e-05,9.745182795230275e-07,1.1091422386609055e-06,0,0
373,119,30,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.993224014877342e-05,6.838209956185892e-05,6.560622559769957e-07,6.406437644544428e-07,0,0
103,289,26,0,0.5,0.5,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0011447220225818456,0.0011731760576367378,4.650591815873146e-05,4.674388377238393e-05,0,0
267,190,3,0,0.5,0.5,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.005955655639991164,0.005952726351097226,6.821657498993522e-05,6.803900841149484e-05,0,0
382,69,20,0,0.5,0.5,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.454391419130843e-05,4.511695806286298e-05,4.166489641043445e-07,4.2064286058642593e-07,0,0
77,195,23,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0010779786854982377,0.0009515624900814146,6.0405946016323805e-05,5.241248770492436e-05,0,0
380,90,11,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.1706111116800456e-05,4.384856983961072e-05,4.7534372241593015e-07,4.001353069526649e-07,0,0
269,160,13,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0001577975184773095,0.0001953579965629615,2.139338522248916e-06,2.6427142848389606e-06,0,0
