epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
245,44,37,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.5931632653061223,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09689286053180694,0.09685157313942909,2.143505627763139e-05,1.598831457605576e-05,0,0
352,148,29,0,0.5,0.02,0.5,13300,3000,3000,0.6213333333333333,0.6941204444444444,0.6689976689976689,0.6213333606719971,0.6282406032085419,0.5159000068902969,0.0008776137173733607,0.020534556045722824,0.6363735377788544,0.6457768321037293,0.00015044954322908754,0.018450206898398862,0,0
160,277,24,0,0.5,0.5,0.02,13300,3000,3000,0.5920068027210885,0.6423752834467121,0.05516154452324664,0.6003333330154419,0.6169699251651763,0.6232000052928924,0.006280242860085271,0.014012840523676105,0.6714532017707825,0.6703483641147614,0.0007102148388221083,0.0008867654038764631,0,0
222,51,23,0,0.02,0.02,0.5,13300,3000,3000,0.5,0.6339522222222223,0.0,0.5,0.9800000190734863,0.9800000190734863,0.0,0.0,0.0967459261417389,0.09672400504350662,1.8835140898964623e-05,1.2771610359342453e-05,0,0
246,8,16,0,0.02,0.5,0.02,13300,3000,3000,0.5,0.6543877551020408,0.0,0.9800000190734863,0.9800000190734863,0.5,0.0,0.0,0.09474890306591988,1.9073252558708191,0.00010073475255829216,0.12107539232715422,0,0
132,39,14,0,0.02,0.02,0.5,13300,3000,3000,0.5,0.6322737777777778,0.0,0.5,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09721228256821632,0.09719282239675522,1.8297084511924265e-05,1.394715645301399e-05,0,0
189,76,21,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.5485997732426304,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.0976740412414074,0.09763659983873367,5.688830742907742e-06,4.586658988674022e-06,0,0
68,262,37,0,0.5,0.02,0.02,13300,3000,3000,0.5668367346938776,0.6513038548752834,0.0477577169481654,0.45500001311302185,0.6200676679611206,0.47596666514873504,0.0037174309709185976,0.02104674491646672,0.6841342687606812,0.6865884125232696,0.0004005235128936775,0.0017656043443369724,0,0
44,104,16,0,0.5,0.02,0.02,13300,3000,3000,0.5931972789115646,0.629608843537415,0.052109181141439205,0.4906666576862335,0.605616545677185,0.44569999873638155,0.002738748667690144,0.03981804185917386,0.6828133165836334,0.6856241285800934,0.0009781142850404548,0.004653022816428324,0,0
382,297,31,0,0.5,0.02,0.5,13300,3000,3000,0.6256666666666666,0.6904428888888888,0.662458671475804,0.6256666779518127,0.6242030084133148,0.5137999922037124,0.0006037945344026936,0.015653330869436585,0.6395223796367645,0.645939314365387,7.901394789970282e-05,0.013965866225889906,0,0
225,234,5,0,0.02,0.5,0.02,13300,3000,3000,0.5,0.42846371882086165,0.0,0.9800000190734863,0.9800000190734863,0.5,0.0,0.0,0.09847006723284721,1.9736029982566834,3.181206061013406e-06,0.0006957364235773759,0,0
297,93,30,0,0.5,0.5,0.5,13300,3000,3000,0.64,0.6920244444444444,0.6378269617706237,0.6399999856948853,0.6270827054977417,0.6190333366394043,0.001485148263110281,0.01795949088217311,0.6375175774097442,0.6463191926479339,0.00018517704602144205,0.008352354538365154,0,0
204,255,34,0,0.5,0.02,0.02,13300,3000,3000,0.5678571428571428,0.6522789115646258,0.048163756773028296,0.4729999899864197,0.6148270666599274,0.4610666662454605,0.0024423386636313895,0.047758365784242744,0.6575376749038696,0.6715673685073853,0.0006933035899113353,0.020013459930818794,0,0
314,215,16,0,0.02,0.02,0.5,13300,3000,3000,0.5,0.49202622222222225,0.0,0.5,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09805798605084419,0.09790852218866349,3.551007132655499e-06,2.8599035909537786e-06,0,0
143,84,34,0,0.5,0.02,0.5,13300,3000,3000,0.6333333333333334,0.6893906666666667,0.6469833119383825,0.6333333253860474,0.6237293183803558,0.5202333390712738,0.0014242969749928213,0.07093566470444718,0.6407368421554566,0.6473600745201111,0.0002563727827114459,0.05564774645212962,0,0
310,175,3,0,0.5,0.5,0.5,13300,3000,3000,0.6216666666666667,0.68972,0.6623028860458197,0.621666669845581,0.6239999949932098,0.6303333222866059,0.0011500620489575983,0.002691540026010338,0.6404108881950379,0.6359329342842102,8.60832921224184e-05,0.0005708173796006567,0,0
126,200,27,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.488954081632653,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09789566099643707,0.09777433425188065,3.776529902593699e-06,2.6741959497088105e-06,0,0
345,107,7,0,0.5,0.5,0.02,13300,3000,3000,0.5930272108843537,0.6565022675736962,0.053315105946684906,0.5383333563804626,0.6227443635463714,0.6300000071525573,0.001242875513478885,0.006155405695616513,0.6404618620872498,0.6359939396381378,0.00013745296076281375,0.0014647246707302605,0,0
86,128,30,0,0.5,0.02,0.02,13300,3000,3000,0.5945578231292517,0.6422789115646259,0.05364511691884456,0.5413333177566528,0.618082708120346,0.5071000039577485,0.0013642985463709221,0.031184417138264815,0.6715601503849029,0.6692457258701324,0.0014873929083655368,0.0062664536963505995,0,0
88,151,11,0,0.02,0.5,0.02,13300,3000,3000,0.5,0.40682256235827663,0.0,0.9800000190734863,0.9800000190734863,0.5,0.0,0.0,0.09826100915670395,1.9695754051208496,3.2904773704932556e-06,0.004355239793834454,0,0
329,127,34,0,0.02,0.02,0.5,13300,3000,3000,0.5,0.6519842222222222,0.0,0.5,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09704963266849517,0.09700179249048232,6.488465749342575e-06,5.552467196901967e-06,0,0
281,116,9,0,0.5,0.5,0.5,13300,3000,3000,0.6216666666666666,0.6901633333333332,0.6652904747861988,0.621666669845581,0.6245563983917236,0.6318000018596649,0.0009964612457854394,0.0036974541311176087,0.6397698521614075,0.6355021357536316,0.00016704511735286573,0.0017017363780444299,0,0
120,31,13,0,0.5,0.5,0.02,13300,3000,3000,0.5569727891156462,0.6568310657596372,0.045057471264367814,0.3076666593551636,0.6233308255672455,0.6181666731834412,0.0012922901798026567,0.014067493033437467,0.6408795475959778,0.6485691130161285,0.0002713631460420879,0.009927810804207486,0,0
282,112,37,0,0.02,0.5,0.5,13300,3000,3000,0.5,0.587598,0.0,0.5,0.9800000190734863,0.5,0.0,0.0,0.09737578630447388,1.9485145211219788,7.649549813916626e-06,0.001789440343156705,0,0
282,153,4,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.4201417233560091,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.0981659933924675,0.09811505451798438,1.7317951063123668e-06,1.3198259281997694e-06,0,0
177,187,28,0,0.5,0.5,0.02,13300,3000,3000,0.5993197278911564,0.6544784580498866,0.05523255813953488,0.5666666626930237,0.6205563902854919,0.6244999945163727,0.0012180465240414003,0.009306211685652347,0.6431708991527557,0.6397244393825531,0.00025327192226851363,0.0008184076912432165,0,0
284,205,22,0,0.02,0.5,0.5,13300,3000,3000,0.5,0.6428175555555556,0.0,0.5,0.9800000190734863,0.5,0.0,0.0,0.09729676619172097,1.9495365142822265,3.624724612778622e-06,0.0007308327956390178,0,0
253,48,3,0,0.5,0.02,0.5,13300,3000,3000,0.6356666666666667,0.6894466666666668,0.6526850969176994,0.6356666684150696,0.6231804490089417,0.541266667842865,0.0009958058668393364,0.07274273920690746,0.6411693274974823,0.6305381953716278,0.00024171507106013958,0.05565559100950289,0,0
98,48,7,0,0.5,0.5,0.02,13300,3000,3000,0.597108843537415,0.6575907029478458,0.05471562275017999,0.562333345413208,0.6241428554058075,0.6215000092983246,0.0012587799214614339,0.013671750333679275,0.6407107293605805,0.6408714234828949,0.00047479373922209293,0.0043255413306770825,0,0
71,237,13,0,0.02,0.02,0.5,13300,3000,3000,0.5,0.5109417777777777,0.0,0.5,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09793576970696449,0.09782754182815552,4.142261832343009e-06,3.4718573586588475e-06,0,0
378,136,18,0,0.5,0.02,0.02,13300,3000,3000,0.5855442176870748,0.6589625850340135,0.05138086062941555,0.5076666474342346,0.6243909776210785,0.5263666629791259,0.001266740589342817,0.037807830782685896,0.6388071358203888,0.63886479139328,0.00013621635067055565,0.030034925628670796,0,0
279,30,21,0,0.5,0.02,0.5,13300,3000,3000,0.6613333333333333,0.7078911111111111,0.7092157985117343,0.6613333225250244,0.6574210524559021,0.5289666712284088,0.0017283621642312443,0.09941869133409488,0.6078976988792419,0.6405615895986557,0.0007525292653382713,0.08713888546734264,0,0
251,130,21,0,0.02,0.5,0.02,13300,3000,3000,0.5,0.5294614512471655,0.0,0.9800000190734863,0.9800000190734863,0.5,0.0,0.0,0.09749381244182587,1.9531322598457337,4.388539968741086e-06,0.0012373361540850133,0,0
190,101,10,0,0.5,0.5,0.02,13300,3000,3000,0.5911564625850341,0.662233560090703,0.052493438320209966,0.518666684627533,0.6247443616390228,0.6305999875068664,0.0013050958596891454,0.004213202806605098,0.6394793033599854,0.6344741344451904,0.00016959919952624626,0.0009841605807300775,0,0
76,88,9,0,0.5,0.02,0.5,13300,3000,3000,0.618,0.6832957777777778,0.6605450236966824,0.6179999709129333,0.6206917345523835,0.5285999983549118,0.002170269113143234,0.09273975381399081,0.6615159630775451,0.6565573394298554,0.0026712999152194855,0.026873976842438193,0,0
335,83,34,0,0.02,0.02,0.5,13300,3000,3000,0.5,0.6292711111111111,0.0,0.5,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09748460054397583,0.0974084697663784,8.697428294941889e-06,8.048288938921112e-06,0,0
